Name,Ingredients
Harvest Bowl,"Wild Rice,Kale,Sweet potatoes,Almonds,Goat cheese,Chicken,Apples,Balsamic Vinaigrette"
Chicken Pesto Parm,"Spinach,Grape Tomatoes,Chicken,Quinoa,Broccoli,Bread Crumbs,Domestic Parmesan Cheese,Pesto Vinaigrette,Hot Sauce"
Guacamole Greens,"Mesclun,Grape Tomatoes,Chicken,Tortilla Chips,Avocado,Lime,Onion,Lime cilantro jalapeno vinaigrette"
Roasted Squash and Blue Cheese,"Wild Rice,Kale,Jumbo Raisins,Walnuts,Blue cheese,Winter Squash,Apples,Balsamic Vinaigrette"
Spring Chicken,"Chicken,Zucchini (Green),Carrots,Basil,Domestic parmesan crisps,Mesclun,Kale,Pesto Vinaigrette"
Elote Bowl,"Sweet corn,Bell Peppers,Grape Tomatoes,Red Cabbage,Cilantro,Goat cheese,Tortilla Chips,Quinoa,Arugula,Spicy Sunflower Seeds,Lime cilantro jalapeno vinaigrette"
,
